stop_id,stop_code,stop_name,stop_lat,stop_lon
1018,18736,"Marszowicka",51.1631676200,16.8785105900
3524,20267,"DWORZEC GŁÓWNY",51.0996462200,17.0372634900
2948,10333,"Wzgórze Partyzantów",51.1037869200,17.0384902700
697,23163,"Jutrosińska",51.1463619300,17.0418826300
1501,12206,"Kwiska",51.1252752500,16.9834276700
1674,24404,"ZOO",51.1055608100,17.0778982000
129,12503,"Metalowców",51.1327474000,16.9582917200
76,18733,"Bojanowska",51.1653264500,16.8818990400
1982,21136,"BARDZKA (Cmentarz)",51.0732655400,17.0532944900
3822,24313,"8 Maja",51.1135576300,17.0922856300
1749,20815,"PL. GRUNWALDZKI",51.1114516500,17.0605291900
231,10510,"Głogowska",51.1174262400,17.0035309700
1630,11404,"Stalowa",51.0996657800,17.0016518700
91,18707,"Główna",51.1636348700,16.8966882100
124,12713,"Wiślańska",51.1359184100,16.9790481300
3779,18119,"Fieldorfa",51.1476506000,16.9082140000
1367,20825,"Bujwida",51.1133631600,17.0669058200
1196,31341013,"Szczodre - Trzebnicka",51.1903616100,17.1841944200
3116,17511,"Strachowice General Aviation",51.1050111500,16.8990643000
262,12126,"Nowy Dwór (Rogowska)",51.1186519500,16.9537881200
666,23107,"OSOBOWICKA (Cmentarz)",51.1354559000,17.0042563000
33,20312,"pl. Wróblewskiego",51.1053429000,17.0489335300
2783,23109,"most Milenijny",51.1365115200,16.9992727300
1623,20666,"Słowiańska",51.1235419100,17.0402172300
1800,23102,"most Osobowicki",51.1330231600,17.0261839300
1815,23723,"Bagatela",51.1527626500,17.0693892200
1614,10006,"Rynek",51.1098340800,17.0265935000
1306,12149,"Szkocka",51.1091444900,16.9685528800
3787,18746,"Wojanowska (Stoszowska)",51.1514870000,16.9099300000
2040,98360,"Las Mokrzański",51.1759061700,16.8335489400
340,16512,"Przyjaźni",51.0687684000,17.0047434500
1418,10021,"GALERIA DOMINIKAŃSKA",51.1085289400,17.0387010800
3688,31921001,"Raków I",51.1700792400,17.2776887800
50,29517,"KŁOKOCZYCE",51.1569605300,17.0962815100
585,24714,"Smocza",51.1033559900,17.1547421600
4020,24137,"Kowalska 56",51.1360800000,17.0975300000
1582,10604,"PL. STASZICA",51.1224624500,17.0302590500
1396,20609,"DWORZEC NADODRZE",51.1242294000,17.0350092500
3474,92052012,"Brzezinka Średzka - Główna",51.2158058000,16.8370802000
557,24514,"Okrzei",51.1064282400,17.0984639600
349,26314,"Ołtaszyn",51.0565016200,17.0249606900
480,21105,"Śliczna",51.0850864300,17.0349837600
1028,24121,"Działdowska",51.1331716300,17.1054383500
3307,50094985,"Radwanice - Szkoła",51.0486200000,17.1154640000
1120,21176,"SPISKA (Ośrodek sportu)",51.0835642600,17.0299742900
3271,50000057,"MOKRY DWÓR",51.0710700000,17.1237490000
3610,31917005,"Wilczyce - Dworska",51.1293687300,17.1550406900
1355,23010,"Bałtycka",51.1377841200,17.0301744800
2034,20622,"pl. Bema",51.1166631500,17.0417125500
1780,18303,"Zajazdowa",51.1480948200,16.8653655100
3355,51943003,"Bogusławice",50.9978560000,17.1049720000
560,24511,"Partyzantów",51.1062614300,17.0939924100
974,18329,"Ratyń - skrzyżowanie",51.1306630400,16.8475935500
356,26344,"Kutrzeby",51.0523518500,17.0194239600
4048,17741,"Jerzmanowo (Cmentarz)",51.1258930000,16.8858150000
637,23141,"Broniewskiego",51.1359043600,17.0353272200
3654,32911904,"Domaszczyn Kościół",51.1880685700,17.1647516000
3111,17317,"Zagony",51.1008794200,16.9422415200
2290,21117,"ROD Bajki",51.0825281300,17.0343704600
882,12528,"Metalowców",51.1322485600,16.9563613100
3368,50000028,"Kotowice - Cmentarna",51.0226600000,17.2333630000
3653,32618201,"Ramiszów",51.1887846200,17.1014066200
80,18372,"Wolska",51.1469110000,16.8693790000
1371,24409,"Chełmońskiego",51.1037567700,17.0909274000
261,12125,"Nowy Dwór (Rogowska)",51.1186231100,16.9548696300
235,10511,"Inowrocławska",51.1154377400,17.0152886900
2342,16705,"WAŁBRZYSKA",51.0648963600,16.9761323900
1627,24413,"Spółdzielcza",51.1022060200,17.1018083900
247,10548,"Śrubowa",51.1124317600,17.0010101300
1704,18389,"RUBCZAKA (Stacja kolejowa)",51.1433057600,16.8663781800
3462,24324,"Godebskiego (AWF Wrocław)",51.1138679100,17.0987194000
219,10517,"DŁUGA (Politechnika)",51.1252886200,17.0100183300
766,29302,"Palacha",51.1405715000,17.1264309300
3422,29135,"Psie Pole (Rondo Lotników Polskich)",51.1465900000,17.1153640000
1611,11206,"Rondo",51.0906902300,17.0171240100
3139,11314,"KRZYKI",51.0749540900,17.0063847900
3278,51938010,"Św. Katarzyna - Główna n ż",51.0321000000,17.1256280000
513,20321,"DWORCOWA",51.1010645000,17.0403796400
2306,26115,"ROD Mieczyk",51.0638894900,17.0724922200
2200,80362014,"Samotwór - Dębowa",51.1067160000,16.8365920000
392,16513,"Sowia",51.0737926200,17.0018449400
627,23133,"Pola",51.1367486200,17.0446982300
3705,31371004,"Godzieszowa (na wys. nr 8)",51.2374339300,17.1259322500
3769,11325,"Zaolziańska",51.0980482000,17.0254733100
3365,51933008,"Kotowice - Główna",51.0249480000,17.2316700000
779,23704,"Kasprowicza",51.1378651500,17.0536707600
925,11369,"Sanocka",51.0932632800,17.0300793500
3702,31453006,"Zaprężyn - skrzy.",51.2535233200,17.2062972700
509,21102,"DWORZEC AUTOBUSOWY",51.0965745500,17.0329804700
3675,31913001,"Jaksonowice - skrzy.",51.2495630900,17.2452439900
3396,51933002,"Groblice II-Kotowicka",51.0136830000,17.1752490000
2797,17729,"Żernicka (Stacja kolejowa)",51.1260832900,16.9142594700
1200,31341002,"Budziwojowice",51.2228853800,17.1881141400
3555,21162,"Armii Krajowej (Bogedaina)",51.0853469400,17.0652888100
259,12124,"Chociebuska",51.1146730400,16.9580598300
1804,29117,"Bierutowska 75",51.1559648100,17.1406814300
3470,90336011,"Wilkszyn - Miłoszyn",51.1827212000,16.8725008000
3469,92052013,"Brzezina - Chrobrego",51.2015223000,16.8347398000
1332,16706,"Marcepanowa",51.0623652800,16.9763931500
763,29123,"Gorlicka",51.1433204000,17.1203247000
3053,17315,"Trawowa",51.0970587400,16.9505113100
3792,23562,"Waniliowa",51.1784030000,16.9997520000
2727,10406,"pl. Strzegomski (Muzeum Współczesne)",51.1129278900,17.0077196800
3680,32614901,"Kamień Diamentowa",51.1671000000,17.2240627700
2298,16719,"ROD Bielany",51.0552190800,16.9775086500
3645,31371007,"Siedlec - Wrocławska/szkoła",51.2302522500,17.1148444300
2794,21157,"Nyska",51.0828854900,17.0549052400
71,18724,"Wilkszyńska",51.1736440100,16.8862201500
651,23113,"Różanka",51.1395030400,17.0216930800
3761,23511,"Perzowa",51.1765761700,16.9919465400
3354,50000052,"Sulimów",51.0010080000,17.1260740000
883,12527,"Metalowców",51.1322913500,16.9565849600
