variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
704332,1,,,
704333,1,,,
705028,1,,,
705029,1,,,
705090,1,,,
705091,1,,,
705094,0,,,
705095,0,,,
705097,0,,,
705098,0,,,
705099,0,,,
705100,0,,,
705102,0,,,
705103,0,,,
705104,0,,,
705105,0,,,
705106,0,,,
705107,0,,,
705108,0,,,
705109,0,,,
705110,0,,,
705111,0,,,
705112,0,,,
705119,1,,,
705120,1,,,
705121,0,,,
705128,1,,,
705129,1,,,
711716,1,,,
711717,1,,,
711718,1,,,
711719,1,,,
711720,0,711716,,3460
711721,0,711717,,1012
711722,0,711717,,815
711723,0,711717,,1142
711724,0,711717,1248,
711725,0,711716,964,
712398,1,,,
712399,1,,,
712400,1,,,
712401,1,,,
712402,0,711716,,3460
712404,0,711717,,815
712406,0,711717,1248,
712407,0,711716,964,
715169,1,,,
715170,1,,,
715171,0,715169,,668
715172,0,715169,670,
715173,0,715170,667,
715174,0,715170,,669
715849,1,,,
715850,1,,,
715853,0,715170,667,
715854,0,715170,,669
717907,1,,,
717908,1,,,
717909,0,,,
717910,0,,,
717911,0,,,
717912,0,,,
717913,1,,,
717914,1,,,
717915,0,,,
717916,0,,,
717917,0,,,
717918,0,,,
718047,1,,,
718048,1,,,
718049,1,,,
718050,1,,,
718051,1,,,
718052,1,,,
718053,1,,,
718054,1,,,
718055,0,,,
718056,0,,,
718058,0,,,
718059,0,,,
718060,0,,,
718061,0,,,
718062,0,,,
718063,0,,,
718065,0,,,
718069,0,,,
718071,0,,,
718072,0,,,
718073,0,,,
718074,1,,,
718075,1,,,
718076,1,,,
718077,1,,,
718078,1,,,
718079,1,,,
718080,1,,,
718081,1,,,
718083,0,,,
718084,0,,,
718094,0,,,
718097,0,,,
718098,0,,,
718099,0,,,
718426,1,,,
718427,1,,,
718428,1,,,
718429,1,,,
718430,1,,,
718431,1,,,
718432,1,,,
718433,1,,,
718434,1,,,
718435,1,,,
718436,1,,,
718437,1,,,
718438,1,,,
718439,1,,,
718440,1,718440,,879
718441,1,,,
718442,1,,,
718443,1,,,
718444,1,,,
718445,1,,,
718446,1,,,
718447,1,,,
718448,1,,,
718449,1,,,
718450,1,,,
718451,1,,,
718452,1,,,
718453,1,,,
718454,1,,,
718455,1,,,
718456,1,,,
718457,1,,,
718458,1,,,
718459,1,,,
718460,1,,,
718461,1,,,
718462,1,,,
718463,1,,,
718464,1,,,
718465,1,,,
718466,1,,,
718467,1,,,
718468,1,,,
718469,1,,,
718470,1,,,
718471,1,,,
718472,1,,,
718473,1,,,
718474,1,,,
718475,1,,,
718476,1,,,
718477,1,,,
718478,1,,,
718479,1,,,
718480,1,,,
718481,1,,,
718482,1,,,
718483,1,,,
718484,1,,,
718485,1,,,
718486,1,,,
718487,1,,,
718488,1,,,
718489,1,,,
718490,1,,,
718491,1,,,
718492,1,,,
718493,1,,,
718494,1,,,
718495,1,,,
718496,1,,,
718497,1,,,
718498,1,,,
718499,1,,,
718500,1,,,
718501,1,,,
718502,1,,,
718503,1,,,
718504,1,,,
718505,1,,,
718506,1,,,
718507,1,,,
718508,1,,,
718509,1,,,
718510,1,,,
718511,1,,,
718512,1,,,
718513,1,,,
718514,1,,,
718515,1,,,
718516,1,,,
718517,1,,,
718518,1,,,
718519,1,,,
718520,1,,,
718521,1,,,
718522,1,,,
718523,1,,,
718524,1,,,
718525,1,,,
718526,1,,,
718527,1,,,
718528,1,,,
718529,1,,,
718531,1,,,
718532,1,,,
718533,1,,,
718535,1,,,
718536,1,,,
718537,1,,,
718538,1,,,
718539,1,,,
718540,1,,,
718541,1,,,
718542,1,,,
718543,1,,,
718544,1,,,
718545,1,,,
718546,1,,,
718547,1,,,
718548,1,,,
718549,1,,,
718550,1,,,
718551,1,,,
718552,1,,,
718553,1,,,
718554,1,,,
718555,1,,,
718558,0,718427,,2854
718559,0,,,
718560,0,,,
718563,0,718427,,127
718564,0,,,
718566,0,718426,242,
718567,0,718426,242,
